label,class_name,n_test,correct,accuracy
0,cattle_0100,2,1,0.5
1,cattle_0200,2,2,1.0
2,cattle_0300,3,3,1.0
3,cattle_0400,1,1,1.0
4,cattle_0500,3,3,1.0
5,cattle_0600,4,4,1.0
6,cattle_0700,3,3,1.0
7,cattle_0800,4,4,1.0
8,cattle_0900,2,2,1.0
9,cattle_1000,2,2,1.0
10,cattle_1100,2,2,1.0
11,cattle_1200,2,2,1.0
12,cattle_1300,2,2,1.0
13,cattle_1400,3,3,1.0
14,cattle_1500,1,1,1.0
15,cattle_1600,3,3,1.0
16,cattle_1700,2,2,1.0
17,cattle_1800,4,4,1.0
18,cattle_1900,2,2,1.0
19,cattle_2000,3,2,0.6667
20,cattle_2100,1,1,1.0
21,cattle_2200,1,1,1.0
22,cattle_2220,1,1,1.0
23,cattle_2300,4,4,1.0
24,cattle_2320,3,3,1.0
25,cattle_2400,5,5,1.0
26,cattle_2500,7,7,1.0
27,cattle_2510,2,2,1.0
28,cattle_2600,5,5,1.0
29,cattle_2700,3,3,1.0
30,cattle_2710,3,3,1.0
31,cattle_2740,2,2,1.0
32,cattle_2800,5,5,1.0
33,cattle_2900,3,3,1.0
34,cattle_2930,1,1,1.0
35,cattle_3000,3,3,1.0
36,cattle_3100,3,3,1.0
37,cattle_3200,3,3,1.0
38,cattle_3300,3,3,1.0
39,cattle_3400,1,1,1.0
40,cattle_3420,1,1,1.0
41,cattle_3802,2,2,1.0
42,cattle_3812,2,2,1.0
43,cattle_3814,3,3,1.0
44,cattle_3819,4,4,1.0
45,cattle_3832,8,8,1.0
46,cattle_3842,3,3,1.0
47,cattle_3844,3,3,1.0
48,cattle_3847,4,4,1.0
49,cattle_3852,6,6,1.0
50,cattle_3856,3,3,1.0
51,cattle_4208,4,4,1.0
52,cattle_4259,1,1,1.0
53,cattle_4323,4,4,1.0
54,cattle_4326,2,2,1.0
55,cattle_4330,6,6,1.0
56,cattle_4339,4,4,1.0
57,cattle_4347,4,4,1.0
58,cattle_4363,4,4,1.0
59,cattle_4369,3,3,1.0
60,cattle_4381,5,5,1.0
61,cattle_4385,5,5,1.0
62,cattle_4399,1,1,1.0
63,cattle_4421,6,6,1.0
64,cattle_4422,4,4,1.0
65,cattle_4451,1,1,1.0
66,cattle_4454,5,5,1.0
67,cattle_4456,6,6,1.0
68,cattle_4479,5,5,1.0
69,cattle_4488,2,2,1.0
70,cattle_4499,6,6,1.0
71,cattle_4537,2,2,1.0
72,cattle_4539,4,4,1.0
73,cattle_4545,6,6,1.0
74,cattle_4549,1,0,0.0
75,cattle_4551,6,6,1.0
76,cattle_4568,5,5,1.0
77,cattle_4607,7,7,1.0
78,cattle_4613,14,14,1.0
79,cattle_4614,5,5,1.0
80,cattle_4649,7,7,1.0
81,cattle_4668,4,4,1.0
82,cattle_4678,4,4,1.0
83,cattle_4679,3,3,1.0
84,cattle_4680,4,4,1.0
85,cattle_4685,2,2,1.0
86,cattle_4686,6,6,1.0
87,cattle_4716,3,3,1.0
88,cattle_4717,1,1,1.0
89,cattle_4733,6,6,1.0
90,cattle_4739,5,5,1.0
91,cattle_4748,3,3,1.0
92,cattle_4770,2,2,1.0
93,cattle_4775,3,3,1.0
94,cattle_4776,5,5,1.0
95,cattle_4804,3,3,1.0
96,cattle_4819,4,4,1.0
97,cattle_4820,8,5,0.625
98,cattle_4833,5,5,1.0
99,cattle_4839,5,5,1.0
100,cattle_4840,3,3,1.0
101,cattle_4895,5,5,1.0
102,cattle_4915,6,5,0.8333
103,cattle_4921,3,3,1.0
104,cattle_4947,3,3,1.0
105,cattle_4951,8,8,1.0
106,cattle_4969,2,2,1.0
107,cattle_4971,2,2,1.0
108,cattle_4984,5,5,1.0
109,cattle_4985,2,2,1.0
110,cattle_4986,5,5,1.0
111,cattle_4995,1,1,1.0
112,cattle_5009,3,3,1.0
